iteration,b,t,target_amount
iteration_1,3,1,2026.0
iteration_1,1,1,1747.0
iteration_1,2,1,1915.0
iteration_1,1,2,1078.0
iteration_1,2,2,875.0
iteration_1,3,2,1039.0
iteration_1,2,3,3480.0
iteration_1,1,3,1278.0
iteration_1,3,3,1412.0
iteration_1,3,4,1629.0
iteration_1,2,4,467.0
iteration_1,1,4,250.0
iteration_1,1,5,1581.0
iteration_1,3,5,1946.0
iteration_1,2,5,1334.0
iteration_1,3,6,860.0
iteration_1,2,6,980.0
iteration_1,1,6,899.0
iteration_2,3,1,2580.0
iteration_2,1,1,1445.0
iteration_2,2,1,2325.0
iteration_2,1,2,1859.0
iteration_2,3,2,985.0
iteration_2,2,2,814.0
iteration_2,2,3,2783.0
iteration_2,1,3,1141.0
iteration_2,3,3,1226.0
iteration_2,3,4,2112.0
iteration_2,1,4,504.0
iteration_2,2,4,488.0
iteration_2,3,5,744.0
iteration_2,1,5,2412.0
iteration_2,2,5,1959.0
iteration_2,1,6,608.0
iteration_2,3,6,737.0
iteration_2,2,6,1411.0
iteration_3,1,1,1595.0
iteration_3,3,1,3051.0
iteration_3,2,1,1423.0
iteration_3,1,2,2427.0
iteration_3,3,2,824.0
iteration_3,2,2,1108.0
iteration_3,2,3,1824.0
iteration_3,3,3,1635.0
iteration_3,1,3,1327.0
iteration_3,3,4,2182.0
iteration_3,1,4,1505.0
iteration_3,2,4,803.0
iteration_3,3,5,1617.0
iteration_3,2,5,795.0
iteration_3,1,5,752.0
iteration_3,3,6,698.0
iteration_3,1,6,1849.0
iteration_3,2,6,1696.0
