d,1,2,3,4,5,6,iteration
1,69,13,11,20,50,28,iteration_1
2,60,12,10,42,18,5,iteration_1
3,19,34,83,45,8,14,iteration_1
4,78,14,51,11,8,14,iteration_1
5,87,15,15,61,25,7,iteration_1
6,73,13,12,22,54,30,iteration_1
7,45,9,62,11,16,35,iteration_1
8,28,7,6,51,15,11,iteration_1
9,59,11,81,13,112,15,iteration_1
10,111,15,30,215,50,51,iteration_1
11,6,13,21,31,42,55,iteration_1
12,5,11,53,20,57,11,iteration_1
13,39,9,41,9,6,15,iteration_1
14,118,16,112,16,25,49,iteration_1
15,89,14,16,136,32,25,iteration_1
16,114,16,27,52,165,68,iteration_1
17,13,83,25,75,13,17,iteration_1
18,108,16,117,16,22,47,iteration_1
19,23,11,29,58,27,24,iteration_1
20,114,15,18,6,20,22,iteration_1
21,19,43,61,56,75,11,iteration_1
22,17,44,28,6,21,44,iteration_1
23,5,13,118,28,102,12,iteration_1
24,36,8,24,49,53,32,iteration_1
25,38,8,116,16,96,16,iteration_1
26,32,7,21,44,98,58,iteration_1
27,96,14,37,12,18,6,iteration_1
28,22,63,33,28,8,6,iteration_1
29,25,193,43,1,13,20,iteration_1
30,19,129,34,42,10,6,iteration_1
1,18,32,43,80,44,6,iteration_2
2,15,64,26,32,8,5,iteration_2
3,73,13,12,22,54,30,iteration_2
4,21,37,88,48,8,14,iteration_2
5,23,93,36,46,10,7,iteration_2
6,19,79,31,10,42,18,iteration_2
7,8,17,79,28,86,13,iteration_2
8,28,7,39,9,9,20,iteration_2
9,59,11,15,33,54,79,iteration_2
10,21,46,76,112,154,205,iteration_2
11,34,8,8,62,18,13,iteration_2
12,32,8,42,9,10,22,iteration_2
13,39,9,9,17,62,26,iteration_2
14,118,16,112,16,25,49,iteration_2
15,89,14,16,136,32,25,iteration_2
16,114,16,27,52,165,68,iteration_2
17,13,83,25,75,13,17,iteration_2
18,108,16,26,128,42,25,iteration_2
19,19,144,25,29,7,24,iteration_2
20,114,15,18,6,19,11,iteration_2
21,19,150,36,1,76,12,iteration_2
22,17,36,40,88,30,23,iteration_2
23,38,8,105,15,102,12,iteration_2
24,36,8,24,49,108,24,iteration_2
25,5,108,18,127,17,21,iteration_2
26,4,10,115,25,54,14,iteration_2
27,19,126,34,6,24,12,iteration_2
28,22,36,44,44,36,31,iteration_2
29,123,16,39,40,43,16,iteration_2
30,100,15,24,34,42,46,iteration_2
1,69,13,11,20,27,33,iteration_3
2,60,12,10,18,45,26,iteration_3
3,73,13,12,22,54,30,iteration_3
4,78,14,51,11,34,9,iteration_3
5,23,93,36,12,21,28,iteration_3
6,73,13,49,11,32,8,iteration_3
7,8,17,28,41,57,76,iteration_3
8,28,7,6,51,15,11,iteration_3
9,10,22,37,132,51,25,iteration_3
10,111,15,30,66,286,88,iteration_3
11,34,8,46,9,11,24,iteration_3
12,5,41,13,49,10,12,iteration_3
13,7,15,56,24,45,9,iteration_3
14,25,51,77,192,93,24,iteration_3
15,89,14,110,15,27,52,iteration_3
16,26,51,164,67,113,16,iteration_3
17,67,12,73,13,16,33,iteration_3
18,108,16,26,52,74,99,iteration_3
19,19,144,25,29,7,24,iteration_3
20,20,45,63,22,20,22,iteration_3
21,109,15,18,13,6,22,iteration_3
22,85,13,4,10,114,24,iteration_3
23,5,97,17,23,29,52,iteration_3
24,6,114,19,27,12,13,iteration_3
25,38,8,23,49,145,65,iteration_3
26,32,7,105,15,26,36,iteration_3
27,19,40,64,86,32,3,iteration_3
28,22,36,44,66,33,6,iteration_3
29,123,16,39,40,18,25,iteration_3
30,19,41,94,54,34,9,iteration_3
